City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,kastrakion,39.7156,21.6181,56.77,72,84,6.17,GR,1679776081
350,banjarmasin,-3.3244,114.591,75.34,95,100,2.86,ID,1679776082
351,faya,18.3851,42.4509,60.91,30,66,3.74,SA,1679776082
352,turan,16.0678,108.2208,75.18,94,20,1.14,VN,1679776083
353,griffith,41.5284,-87.4237,41.05,73,100,17.27,US,1679776086
354,port-cartier,50.0334,-66.8654,32.76,84,52,4.45,CA,1679776031
355,whitehorse,60.7161,-135.0538,28.02,79,75,11.5,CA,1679775567
356,vila franca do campo,37.7167,-25.4333,59.41,92,100,6.31,PT,1679775830
357,turukhansk,65.8167,87.9833,26.91,93,100,13.98,RU,1679776088
358,datong,40.0936,113.2914,31.15,27,10,0.6,CN,1679776088
359,napier,-39.4833,176.9167,58.51,75,100,5.86,NZ,1679776089
360,zatoka,46.0725,30.4654,46.81,95,100,17.69,UA,1679776089
